--------- beginning of main
01-06 15:26:17.532  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586467, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=938320378 }
01-06 15:26:17.547  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1385.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586483, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=166262390 }
01-06 15:26:17.552  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1384.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586487, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=546309929 }
01-06 15:26:17.562  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586498, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=674987820 }
01-06 15:26:17.572  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586508, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=617010642 }
01-06 15:26:17.583  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586518, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=38833859 }
01-06 15:26:17.597  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586532, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=216445790 }
01-06 15:26:17.603  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586538, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=77342983 }
01-06 15:26:17.613  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586548, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=680813827 }
01-06 15:26:17.623  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586558, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=1015700507 }
01-06 15:26:17.642  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586577, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=669615903 }
01-06 15:26:17.654  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586589, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=429263811 }
01-06 15:26:17.664  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586599, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=503245927 }
